sku,brand,model,description,quantity,unit_cost,reorder_threshold,max_threshold,sell_price,supplier
,"Qualgear","QG-TM-002-BLK","37-Inch to 70-Inch Universal Ultra Slim Low Profile Fixed Wall Mount LED TVs, Black","7","35.87","0","0","199.99","Amazon"
,"Remootio","Remootio3","Remootio 3 + Sensor + Power Adapter Multipack","0","129","0",,"249.99","Remootio"
,"Reolink","G330","Reolink product or accessory (G330)","4",,"0","0",,"Reolink"
,"Reolink","Reolink Chime","Reolink product or accessory (Reolink Chime)","1",,"0","0",,"Reolink"
,"Reolink","RLC-1212A","12MP PoE spotlight camera with person, vehicle, and pet detection","1","110.49","0","0","299.99","Reolink"
,"Reolink","RLC-810WA","4K 8MP dual-band Wi-Fi security camera with color night vision and IP67 weatherproofing","4","101.99","2","4","299.99","Reolink"
,"Reolink","Solar-Panel","Reolink product or accessory (Solar-Panel)","3","79.99","0","0","179.99","Reolink"
,"ReoLink","RP-PCB8M","Professional 4K 8MP PoE bullet camera with AI detection","1","93.49","2","4","299.99","Reolink"
,"ReoLink","RP-PCT8M","Professional 4K 8MP PoE turret camera with AI detection","1","93.49","0","0","299.99","Reolink"
,"Sanus","SA-IWB9KIT-W1","9"" TV Media In-Wall Box with Power Supply, Kit","3","52.51","2","4","129","ADI (USA)"
,"Sanus","VLF-728-B2","Full Motion TV Wall Mount for 42""-90"" TVs","0","281.53","0",,"429.99","SnapOne"
,"Sanus","VLFS820-B2","Super Slim Full-Motion TV Mount for Most 40"" to 90"" Panels","4","281.53","2","4","429.99","Wave Electronics"
,"Sanus","WSSATM1-B2","Sonos Arc Soundbar Extendable TV Mount","4","84.08","3","8","159.99","Wave Electronics"
,"Sanus","WSSBM1-B2","Sonos Beam Soundbar Extendable TV Mount","5","56.11","2","8","129.99","Wave Electronics"
,"Sanus","WSSCAM1-B2","Sonos Amp Slim Wall Mount","2","41.44","2","4","99.99","Wave Electronics"
,"SecuraCore","16AWG-2C","(1)16Awg/2C Speaker Cabling, Basic Wall Plates, and Connectors run from AV Rack/Location to (1) Speaker","1000",,"0",,"175","SecuraCore"
,"SecuraCore","16AWG/2C + 22AWG/2C","(1)16AWG/2C-22AWG/2C Lutron Cabling, Basic Wall Plates, and Connectors run from Sivoia QS Shade Panel","1000",,"0",,"250","SecuraCore"
,"SecuraCore","16AWG/4C","(1)16AWG/4C Speaker Cabling, Basic Wall Plates, and Connectors run from AV Rack/Location to (2) Speakers","1000",,"0",,"225","SecuraCore"
,"SecuraCore","CAT6","(1)CAT6 Cable Run, Basic Wall Plates, and Connectors to be used for Control, Video Distribution, or Ethernet","1000",,"0",,"175","SecuraCore"
,"SecuraCore","CAT6-18AWG/2C","(1)CAT6 & (1)18AWG/2C, Basic Wall Plates, and Connectors to be used for Control Control Panel","1000",,"0",,"200","SecuraCore"
,"SecuraCore","CAT6-SMF-RG6","(1)CAT6 & (1)Single Mode Fiber or (1)RG6, Basic Wall Plates, and Connectors to be used for Utilities Connection","1000",,"0",,"250","SecuraCore"
,"SecuraCore","CAT6(2)","(2)CAT6, Basic Wall Plates, and Connectors to be used for Television, Control, Video Distribution, or Ethernet","1000",,"0",,"250","SecuraCore"
,"Sonance","92336","6"" Rough in Medium Rectangle Flex Bracket (Each)","10","9","10","15","29.99","Sonance"
,"Sonance","92337","6"" Rough in Medium Rough Flex Speaker Bracket (Each)","20","9","15","20","29.99","Sonance"
,"Sonos","ACE (BLACK)","Sonos Ace wireless over-ear headphones, black","2","265.35","1","2","399.99","Sonos"
"ACEG1US1","Sonos","ACEG1US1","Ace (White)","0","265.34","0","0","399.99","Sonos"
"AMPG1US1BLK","Sonos","AMPG1US1BLK","Amp wireless streaming amplifier for passive speakers and TV audio","13","571.29","6","10","799","Sonos"
,"Sonos","ARC MOUNT BLACK","Audio accessory or speaker component (ARC MOUNT BLACK)","1","44.64","0","0",,"Sonos"
"ARCG2US1","Sonos","ARCG2US1","Arc Ultra (White)","0","807.77","0","0","1099.99","Sonos"
"ARCG2US1BLK","Sonos","ARCG2US1BLK","Arc soundbar with immersive home theater audio","3","807.77","2","4","1099.99","Sonos"
"BEAM2US1BLK","Sonos","BEAM2US1BLK","Beam Gen 2 smart soundbar with Dolby Atmos, black","2","381.74","2","4","499","Sonos"
,"Sonos","ERA-100-BL","Era 100 SL (Black)","4","148.37","0","0",,"Sonos"
"ERA100B1PRO","Sonos","ERA-100-PRO-BL","Era 100 Pro smart speaker, black","1","532","1","2",,"Sonos"
"ERA300B1","Sonos","ERA-300-BL","Era 300 spatial audio smart speaker, black","1","366.44","1","2",,"Sonos"
"ERA300W1","Sonos","ERA-300-WH","Era 300 spatial audio smart speaker, white","3","366.44","2","4",,"Sonos"
,"Sonos","INCL8WW1","In-Ceiling 8"" Speakers by Sonos and Sonance (Pair)","4","401.14","0",,"1099.99","Sonos"
,"Sonos","INCLGWW1","In-Ceiling 6"" Speakers by Sonos and Sonance (Pair)","6","266.09","0",,"729.99","Sonos"
"INWLLWW1","Sonos","INWLLWW1","In-Wall Speakers by Sonos and Sonance (Pair)","0","266.09","0",,"729.99","Sonos"
,"Sonos","MOVE-2-BASE-W","Charging base for Sonos Move 2, white","2","44.64","1","2",,"Sonos"
"MOVE2US1BLK","Sonos","MOVE2-BK","Move 2 portable smart speaker, black","3","381.74","2","4","499.99","Sonos"
"MOVE2US1","Sonos","MOVE2-WH","Move 2 portable smart speaker, white","1","381.74","1","2",,"Sonos"
,"Sonos","MOVEHOOK","Move Wall Hook, Black","8","16.39","0","0",,"Sonos"
,"Sonos","MVWHKWW1","Move Wall Hook, White","1","16.39","0","0",,"Sonos"
,"Sonos","ONE-WM-PR-BL","Wall Mount Pair for Sonos One","1",,"0","0",,"Sonos"
,"Sonos","OUTDRWW1","Outdoor Speakers by Sonos and Sonance (Pair) (Black)","1","364.64","0",,"999","Sonos"
,"Sonos","OUTDRWW1BLK","Outdoor Speakers by Sonos and Sonance (Pair) (Black)","0","364.64","0",,"999.99","Sonos"
,"Sonos","PLAYPUS1","Play (White)","0","228.74","0",,"319","Sonos"
,"Sonos","PLAYPUS1BLK","Play (Black)","1","228.74","0",,"319.99","Sonos"
"RAYG1US1BLK","Sonos","RAY-BL","Ray compact TV soundbar, black","1","171.92","0","0",,"Sonos"
,"Sonos","RAYMOUNTBLACK","Sonos audio accessory or speaker component","1","25.94","0","0",,"Sonos"
"ROAM2US1BLK","Sonos","ROAM 2 (BLACK)","Ultra-portable Sonos Roam 2 speaker, black","2","138.73","1","2","219.99","Sonos"
"ROAMCHRGBLK","Sonos","ROAMCHRGBLACK","Ultra-portable Sonos Roam 2 charger black","2","27.69","1","2",,"Sonos"
,"Sonos","ROAMCHRGWHITE","Ultra-portable Sonos Roam 2 charger, white","4","27.69","0",,,"Sonos"
,"Sonos","SNS-BEAM-WALLMOUNT-BK","Beam Wall Mount Kit","4","27.69","0","0",,"Sonos"
,"Sonos","Sonos-Boost","Sonos Boost wireless network bridge","2",,"0","0",,"Sonos"
"MOVECHRGB","Sonos","Sonos-Move-Chrg-Base","Wireless charging base for Sonos Move speaker","1",,"0","0",,"Sonos"
,"Sonos","SUBG3US1BLK","Sub Gen 3 wireless subwoofer, black","1","534","0","0","799","Sonos"
,"Sonos","SUBG4US1BLK","Sub 4 (Black)","2","606.83","1","2","899.99","Sonos"
"SUBM1US1","Sonos","SUBM1US1","Sub Mini compact wireless subwoofer, white","1","381.74","0","0","499.99","Sonos"
"SUBM1US1BLK","Sonos","SUBM1US1BLK","Sub Mini compact wireless subwoofer, black","1","381.74","1","2","499.99","Sonos"
,"Starlink","Ethernet Adapter","Starlink Ethernet adapter for wired network connectivity","2",,"0","0",,"Amazon"
,"T-Mobile","SIM Card Only","T-Mobile product or accessory (SIM Card Only)","7","0","0","0",,
,"TCL","55QM6K","TCL - 55"" QM6K Series 4K UHD HDR QD Mini LED Smart TV with Google TV","0","449.99","0",,"574.94","Best Buy"
"65Q77K","TCL","65Q77K","TCL 65"" Class - Q77K Series - 4K UHD QLED Smart TV","0","399.99","0","0","499.99","Costco"
"65QM6K","TCL","65QM6K","TCL - 65"" Class QM6K Series 4K UHD HDR QD Mini LED Smart TV","0","529.99","0",,"659.99","Best Buy"
,"Techmojo","Tech-Rack-18U","18U Wall Mount Rack,18U Rack 23.6 Inch Depth,with Casters,Enclosed Network Cabinet for 19 Inch Network,Server and AV Gear,Glass Door","0","399.99","0",,"699.99","Amazon"
,"Techmojo","Tech-Rack-27U","Network Rack Cabinet,27U,23.6 Inch Depth,Lockable Cabinet with Casters and Complete Accessories,Clear Door","0","718","0",,"1199.99","Amazon"
,"TecMojo","13111901","TecMojo product or accessory (13111901)","1",,"1","8",,"Amazon"
,"TP-Link","SF1005P","5 Port Fast Ethernet PoE Switch | 4 PoE+ 10/100 Mbps Ports @67W | Desktop | Plug & Play | Sturdy Metal w/ Shielded Ports | Fanless | Extend & Priority Mode","3","35.99","0","0","99.99","Amazon"
,"TP-Link","SG1005D","5 Port Gigabit Ethernet Network Switch | Plug and Play | Desktop or Wall-Mount | Plastic Case Ethernet Splitter | Fanless | Traffic Optimization | Unmanaged","1","15.99","0","0","99.99","Amazon"
"TL-POE170S","TP-Link","TL-POE170S","PoE++ injector adapter","4","42.34","2","4","99.99","Wave Electronics"
,"USPLUS","LP12-4.0","12 Volt 4AH Rechargeable AGM Battery","2","18.49","0","0","79.99","Amazon"
,"Verkada","BZ11-HW","Verkada horn speaker / accessory hardware","1",,"0","0",,"Verkada"
,"Verkada","D50-HW","Verkada dome camera hardware accessory or mounting component","1",,"0","0",,"Verkada"
,"Vivotek","AM-71D","Indoor, Round 6.69""D x 5.12""W x 2.36""H Surveillance Camera Mounting Box","8","16.99","0","0","49.99","Amazon"
,"Wattbox","WB-150-IPW-1B-2","WattBox single-outlet IP controlled plug-in module","5","146.18","0","0",,"SnapOne"
,"Wattbox","WB-200VB-CE-6","WattBox 6-outlet surge protector / power strip","1","86.28","1","2",,"SnapOne"
,"Wattbox","WB-250-IPW-2","WattBox dual-outlet IP controlled plug-in module","5","159.38","0","0",,"SnapOne"
,"Wattbox","WB-300-IP-3","WattBox 3-outlet IP power controller","1","226.38","0","0",,"SnapOne"
,"Wattbox","WB-800CH1U-IPVM-8","WattBox 8-outlet IP power conditioner with OvrC","1","524.85","0","0",,"SnapOne"
,"Western Digital","ADC-USD-128GB-WD","128 GB MicroSD Card","3","22","2","4","79","Alarm.com"
,"Western Digital","ADC-USD-256GB-WD","256 GB MicroSD Card","10","37","6","10","89","Alarm.com"
,"Western Digital","ADC-USD-512GB-WD","512 GB MicroSD Card","3","72","2","4","149","Alarm.com"
,"Western Digital","ADC-USD-64GB-WD","64 GB MicroSD Card","3","14.59","2","4","69","Alarm.com"
,"Wirepath","WP-MOD-DATA8X8","Wirepath structured wiring data distribution module, 8x8","4","31.95","4","8",,"SnapOne"
,"Yale","NTB612-ZW3-626","nexTouch Z-Wave PB Keyed 626 AU Lever - Satin Chrome","1","360.68","0","0","799.99","Wave Electronics"
,"Yale","YRD136-ZW2-0BP","Key Free Keypad Deadbolt (Z-Wave Plus) - Oil Rubbed Bronze","4","147.31","0","0","299.99","Wave Electronics"
,"Yale","YRD410-ZW3-0BP","Assure Lock 2 Keypad Lock (Z-Wave Plus) - Oil Rubbed Bronze","3","106.76","2","4","299.99","Wave Electronics"
,"Yale","YRD410-ZW3-619","Assure Lock 2 Keypad Lock (Z-Wave Plus) - Satin Nickel","1","106.76","2","4","299.99","Wave Electronics"
,"Yale","YRD410-ZW3-BSP","Assure Lock 2 Keypad Lock (Z-Wave Plus) - Black Suede","3","106.76","2","4","299.99","Wave Electronics"
,"Yale","YRL216","Yale Assure Lever smart keypad lever lock","1",,"0","0",,"Wave Electronics"
,"Zuum","HE1IR-50M","Zuum HDMI extender with IR over category cable, 50 meters","1",,"0","0",,"Wave Electronics"
,,"92247","8"" Rough in Large Flex Speaker Bracket (Each)","10","9","10","15","39.99","Sonance"
,,"CAT6-DB","(1)CAT6, Direct Burial Cable Run Basic Wall Plates, and Connectors to be used for Control, Video Distribution, or Ethernet","1000",,"0",,"225","SecuraCore"
"SUBG4US1",,"SUBG4US1","Sub 4 (White)","0","606.83","0","0","899.99","Sonos"
